subjID,exptPart,trialNumber,roleCurrent,marblesSampled,probabilityRed,drawnRed,reportedDrawn,compLie,compUnifLie,compDetect,callBS,playerTrialScore,oppTrialScore,playerTotalScore,oppTotalScore,waitTime,responseTime,catchQuestion,catchKey,catchResponse,catchResponseTime,pseudoRound,trialTime,lie,player.bullshitter,player.bullshitDetector
sona-29975,trial,1,bullshitter,10,0.2,3,7,-1,False,0.506291456,False,7,3,7,3,2970.9807839081,3146,How many red marbles did you actually draw?,-1,-1,-1,False,11137,TRUE,human,computer
sona-29975,trial,2,bullshitDetector,10,0.2,3,4,4,False,-1,False,6,4,13,7,7399.6458152961,1462,How many red marbles did you actually draw?,-1,-1,-1,False,10467,TRUE,computer,human
sona-29975,trial,3,bullshitter,10,0.2,5,7,-1,False,0.506291456,False,7,3,20,10,2590.33836116,4126,How many red marbles did you actually draw?,-1,-1,-1,True,11276,TRUE,human,computer
sona-29975,trial,4,bullshitDetector,10,0.2,3,9,-1,True,0.506291456,True,5,-5,25,5,5544.1471820263,1552,How many red marbles did your opponent report drawing?,9,9,5147,False,14107,TRUE,computer,human
sona-29975,trial,5,bullshitter,10,0.2,2,2,-1,False,0.1841689088,False,2,8,27,13,2711.4616523214,2365,How many red marbles did your opponent report drawing?,-1,-1,-1,False,34661,FALSE,human,computer
sona-29975,trial,6,bullshitDetector,10,0.2,1,4,4,False,-1,False,6,4,33,17,5255.5157362941,1833,How many red marbles did your opponent report drawing?,-1,-1,-1,False,9130,TRUE,computer,human
sona-29975,trial,7,bullshitter,10,0.2,9,9,-1,False,0.50636928,True,9,-4,42,13,2918.7517697277,3114,How many red marbles did your opponent report drawing?,-1,-1,-1,True,13428,FALSE,human,computer
sona-29975,trial,8,bullshitDetector,10,0.2,4,4,1,False,-1,False,6,4,48,17,5416.1699285734,2133,How many red marbles did your opponent report drawing?,-1,-1,-1,False,10626,FALSE,computer,human
sona-29975,trial,9,bullshitter,10,0.2,1,1,-1,False,-0.1178209792,False,1,9,49,26,2984.7924463003,2782,How many red marbles did your opponent report drawing?,-1,-1,-1,False,11758,FALSE,human,computer
sona-29975,trial,10,bullshitDetector,10,0.2,2,2,1,False,-1,False,8,2,57,28,7038.8825707241,1727,How many red marbles did your opponent report drawing?,-1,-1,-1,False,10660,FALSE,computer,human
sona-29975,trial,11,bullshitter,10,0.2,2,3,-1,False,0.3854955008,False,3,7,60,35,3072.7098007787,2962,How many red marbles did your opponent report drawing?,-1,-1,-1,False,13021,TRUE,human,computer
sona-29975,trial,12,bullshitDetector,10,0.2,1,3,3,False,-1,False,7,3,67,38,7427.1543542478,1352,How many red marbles did your opponent report drawing?,-1,-1,-1,False,10538,TRUE,computer,human
sona-29975,trial,13,bullshitter,10,0.2,4,6,-1,False,0.505505024,False,6,4,73,42,2655.2632467698,3010,How many red marbles did your opponent report drawing?,-1,-1,-1,False,13931,TRUE,human,computer
sona-29975,trial,14,bullshitDetector,10,0.2,2,9,-1,False,0.505505024,True,5,-5,78,37,6949.1422338619,2712,How many red marbles did your opponent report drawing?,-1,-1,-1,True,12331,TRUE,computer,human
sona-29975,trial,15,bullshitter,10,0.2,3,4,-1,False,0.4735758848,False,4,6,82,43,3109.2049376159,4521,How many red marbles did your opponent report drawing?,-1,-1,-1,False,16352,TRUE,human,computer
sona-29975,trial,16,bullshitDetector,10,0.2,2,3,3,False,-1,False,7,3,89,46,5768.4559135247,2261,How many red marbles did your opponent report drawing?,-1,-1,-1,False,10848,TRUE,computer,human
sona-29975,trial,17,bullshitter,10,0.2,1,1,-1,False,-0.1178209792,False,1,9,90,55,2937.3902192387,2156,How many red marbles did you actually draw?,1,1,2937,True,13597,FALSE,human,computer
sona-29975,trial,18,bullshitDetector,10,0.2,1,6,-1,False,-0.1178209792,False,4,6,94,61,6283.3446240009,2869,How many red marbles did you actually draw?,-1,-1,-1,True,18072,TRUE,computer,human
sona-29975,trial,19,bullshitter,10,0.2,5,8,-1,False,0.506365184,True,-5,5,89,66,3157.871504476,3644,How many red marbles did you actually draw?,-1,-1,-1,False,13612,TRUE,human,computer
sona-29975,trial,20,bullshitDetector,10,0.2,2,2,2,False,-1,True,3,2,92,68,6115.0986825324,8091,How many red marbles did you actually draw?,-1,-1,-1,False,16514,FALSE,computer,human
sona-29975,trial,21,bullshitter,10,0.2,1,1,-1,False,-0.1178209792,False,1,9,93,77,2841.9072413009,3331,How many red marbles did you actually draw?,-1,-1,-1,False,11009,FALSE,human,computer
sona-29975,trial,22,bullshitDetector,10,0.2,3,3,0,False,-1,False,7,3,100,80,6700.7221062486,1488,How many red marbles did you actually draw?,-1,-1,-1,False,9368,FALSE,computer,human
sona-29975,trial,23,bullshitter,10,0.2,4,4,-1,False,0.4735758848,True,4,1,104,81,2593.0064868824,3129,How many red marbles did you actually draw?,-1,-1,-1,False,10268,FALSE,human,computer
sona-29975,trial,24,bullshitDetector,10,0.2,2,0,-1,False,0.4735758848,False,10,0,114,81,6767.5359043207,1709,How many red marbles did you actually draw?,-1,-1,-1,True,10480,TRUE,computer,human
sona-29975,trial,25,bullshitter,10,0.2,7,7,-1,False,0.506291456,True,7,-2,121,79,3072.4559941108,2776,How many red marbles did you actually draw?,-1,-1,-1,True,15352,FALSE,human,computer
