subjID,exptPart,trialNumber,roleCurrent,marblesSampled,probabilityRed,drawnRed,reportedDrawn,compLie,compUnifLie,compDetect,callBS,playerTrialScore,oppTrialScore,playerTotalScore,oppTotalScore,waitTime,responseTime,catchQuestion,catchKey,catchResponse,catchResponseTime,pseudoRound,trialTime
sona-37984,practice,1,bullshitter,10,0.2,1,3,-1,False,-0.05692564480000095,False,7,3,7,3,2312.805833080839,4230,How many red marbles did you actually draw?,1,1,3472,False,24228
sona-37984,practice,2,bullshitDetector,10,0.2,2,1,1,False,-1,True,5,-5,12,-2,6467.186819486391,8465,How many red marbles did you actually draw?,-1,-1,-1,False,20319
sona-37984,practice,3,bullshitter,10,0.2,1,1,-1,False,0.44639083519999934,True,9,-4,21,-6,2450.078942854422,3310,How many red marbles did you actually draw?,-1,-1,-1,False,11664
sona-37984,practice,4,bullshitDetector,10,0.2,2,1,1,False,-1,True,5,-5,26,-11,6463.147182527464,2823,How many red marbles did your opponent report drawing?,1,1,4684,False,18799
sona-37984,trial,1,bullshitter,10,0.2,2,3,-1,False,-0.05692564480000095,False,7,3,7,3,2358.8955850347143,6547,How many red marbles did you actually draw?,2,2,2633,False,16821
sona-37984,trial,2,bullshitDetector,10,0.2,2,1,1,False,-1,True,5,-5,12,-2,6287.354224948451,2419,How many red marbles did you actually draw?,-1,-1,-1,False,11242
sona-37984,trial,3,bullshitter,10,0.2,0,0,-1,False,0.7148262911999995,True,10,-5,22,-7,2475.7766804066814,3350,How many red marbles did you actually draw?,-1,-1,-1,False,11583
sona-37984,trial,4,bullshitDetector,10,0.2,1,0,-1,True,0.7148262911999995,True,5,-5,27,-12,7055.865626836571,13658,How many red marbles did you actually draw?,-1,-1,-1,False,22977
sona-37984,trial,5,bullshitter,10,0.2,1,3,-1,False,-0.05692564480000095,False,7,3,34,-9,2764.6650427938944,4867,How many red marbles did you actually draw?,-1,-1,-1,False,17167
sona-37984,trial,6,bullshitDetector,10,0.2,1,1,2,False,-1,False,1,9,35,0,5665.726758800676,2934,How many red marbles did you actually draw?,-1,-1,-1,False,10189
sona-37984,trial,7,bullshitter,10,0.2,2,2,-1,False,0.14440094719999919,False,8,2,43,2,2417.111641126234,2219,How many red marbles did you actually draw?,-1,-1,-1,False,9476
sona-37984,trial,8,bullshitDetector,10,0.2,1,1,3,False,-1,True,-4,9,39,11,5780.649087666619,1172,How many red marbles did you actually draw?,-1,-1,-1,False,8822
sona-37984,trial,9,bullshitter,10,0.2,9,9,-1,False,-0.17779942400000093,False,1,9,40,20,3041.728831438558,5200,How many red marbles did you actually draw?,-1,-1,-1,True,15745
sona-37984,trial,10,bullshitDetector,10,0.2,3,2,2,False,-1,True,5,-5,45,15,7164.240739523166,3583,How many red marbles did you actually draw?,-1,-1,-1,False,15788
sona-37984,trial,11,bullshitter,10,0.2,3,4,-1,False,-0.14500602880000102,False,6,4,51,19,2245.4934499761066,2701,How many red marbles did you actually draw?,-1,-1,-1,False,11600
sona-37984,trial,12,bullshitDetector,10,0.2,2,2,2,False,-1,True,-3,8,48,27,6466.486237722228,1931,How many red marbles did you actually draw?,-1,-1,-1,False,10390
sona-37984,trial,13,bullshitter,10,0.2,7,7,-1,False,-0.17772160000000092,False,3,7,51,34,3021.8594669728554,4596,How many red marbles did you actually draw?,-1,-1,-1,True,13473
sona-37984,trial,14,bullshitDetector,10,0.2,3,8,-1,False,-0.17772160000000092,False,8,2,59,36,6826.595259489245,1712,How many red marbles did you actually draw?,-1,-1,-1,True,12329
sona-37984,trial,15,bullshitter,10,0.2,0,0,-1,False,0.7148262911999995,False,10,0,69,36,2479.638889630895,2709,How many red marbles did you actually draw?,-1,-1,-1,True,10454
sona-37984,trial,16,bullshitDetector,10,0.2,2,2,5,False,-1,False,2,8,71,44,7305.751005940463,1586,How many red marbles did your opponent report drawing?,2,2,5689,False,21266
sona-37984,trial,17,bullshitter,10,0.2,3,1,-1,False,0.44639083519999934,False,9,1,80,45,2818.9580490447734,3780,How many red marbles did your opponent report drawing?,-1,-1,-1,False,11778
sona-37984,trial,18,bullshitDetector,10,0.2,2,2,2,False,-1,False,2,8,82,53,6277.353950985451,3137,How many red marbles did your opponent report drawing?,-1,-1,-1,False,14437
sona-37984,trial,19,bullshitter,10,0.2,4,7,-1,False,-0.17772160000000092,False,3,7,85,60,2268.1591993259162,4022,How many red marbles did your opponent report drawing?,-1,-1,-1,False,11473
sona-37984,trial,20,bullshitDetector,10,0.2,2,9,-1,True,-0.17772160000000092,True,5,-5,90,55,5237.406279725442,4083,How many red marbles did your opponent report drawing?,-1,-1,-1,False,11450
sona-37984,trial,21,bullshitter,10,0.2,1,1,-1,False,0.44639083519999934,False,9,1,99,56,3065.893970666501,4683,How many red marbles did your opponent report drawing?,-1,-1,-1,False,15796
sona-37984,trial,22,bullshitDetector,10,0.2,1,10,-1,False,0.44639083519999934,True,5,-5,104,51,7358.562888329732,2736,How many red marbles did your opponent report drawing?,-1,-1,-1,True,11961
sona-37984,trial,23,bullshitter,10,0.2,4,6,-1,False,-0.17693516800000098,False,4,6,108,57,2666.5619284428494,4166,How many red marbles did you actually draw?,4,4,4946,True,16417
sona-37984,trial,24,bullshitDetector,10,0.2,0,0,2,False,-1,True,-5,10,103,67,5529.698444550293,5201,How many red marbles did you actually draw?,-1,-1,-1,False,12235
sona-37984,trial,25,bullshitter,10,0.2,10,10,-1,False,-0.17779952640000085,False,0,10,103,77,3196.601432836923,3045,How many red marbles did you actually draw?,-1,-1,-1,True,15759
sona-37984,trial,26,bullshitDetector,10,0.2,1,1,5,False,-1,False,1,9,104,86,5934.249703713235,2421,How many red marbles did you actually draw?,-1,-1,-1,False,9825
sona-37984,trial,27,bullshitter,10,0.2,1,1,-1,False,0.44639083519999934,True,9,-4,113,82,2245.6464919003356,2653,How many red marbles did you actually draw?,-1,-1,-1,False,9572
sona-37984,trial,28,bullshitDetector,10,0.2,1,1,1,False,-1,False,1,9,114,91,6223.389994260979,1885,How many red marbles did you actually draw?,-1,-1,-1,False,9504
sona-37984,trial,29,bullshitter,10,0.2,3,3,-1,False,-0.05692564480000095,False,7,3,121,94,3046.244176413602,3508,How many red marbles did you actually draw?,-1,-1,-1,False,11856
sona-37984,trial,30,bullshitDetector,10,0.2,5,10,-1,True,-0.05692564480000095,False,10,0,131,94,5416.224757452571,3833,How many red marbles did you actually draw?,-1,-1,-1,False,11735
sona-37984,trial,31,bullshitter,10,0.2,2,7,-1,False,-0.17772160000000092,False,3,7,134,101,2434.705172764469,6278,How many red marbles did you actually draw?,-1,-1,-1,False,17438
sona-37984,trial,32,bullshitDetector,10,0.2,1,4,-1,False,-0.17772160000000092,False,4,6,138,107,5251.852308832151,1986,How many red marbles did you actually draw?,-1,-1,-1,True,8633
sona-37984,trial,33,bullshitter,10,0.2,1,3,-1,False,-0.05692564480000095,False,7,3,145,110,2393.6419084969884,2341,How many red marbles did you actually draw?,-1,-1,-1,True,10292
sona-37984,trial,34,bullshitDetector,10,0.2,3,1,1,False,-1,True,5,-5,150,105,7434.360325840854,1977,How many red marbles did you actually draw?,-1,-1,-1,False,11817
sona-37984,trial,35,bullshitter,10,0.2,1,1,-1,False,0.44639083519999934,False,9,1,159,106,2182.1822170742694,3534,How many red marbles did you actually draw?,-1,-1,-1,False,11313
sona-37984,trial,36,bullshitDetector,10,0.2,5,0,0,False,-1,True,5,-5,164,101,5647.981802294667,2280,How many red marbles did you actually draw?,-1,-1,-1,False,9716
sona-37984,trial,37,bullshitter,10,0.2,6,3,-1,False,-0.05692564480000095,False,7,3,171,104,2417.2012602645336,5225,How many red marbles did you actually draw?,-1,-1,-1,True,13206
sona-37984,trial,38,bullshitDetector,10,0.2,3,3,-1,True,-0.05692564480000095,False,3,7,174,111,5773.560045926026,5318,How many red marbles did your opponent report drawing?,3,3,4665,False,18004
sona-37984,trial,39,bullshitter,10,0.2,3,5,-1,False,-0.171430144000001,False,5,5,179,116,2910.5962933487126,3948,How many red marbles did your opponent report drawing?,-1,-1,-1,False,16976
sona-37984,trial,40,bullshitDetector,10,0.2,3,7,-1,False,-0.171430144000001,True,5,-5,184,111,5972.165782432003,2364,How many red marbles did your opponent report drawing?,-1,-1,-1,True,10114
sona-37984,trial,41,bullshitter,10,0.2,2,2,-1,False,0.14440094719999919,False,8,2,192,113,2321.516050133584,5839,How many red marbles did you actually draw?,2,2,2096,False,15342
sona-37984,trial,42,bullshitDetector,10,0.2,1,1,3,False,-1,True,-4,9,188,122,7078.895400271687,2021,How many red marbles did you actually draw?,-1,-1,-1,False,10389
sona-37984,trial,43,bullshitter,10,0.2,1,7,-1,False,-0.17772160000000092,False,3,7,191,129,2681.156244959154,3950,How many red marbles did you actually draw?,-1,-1,-1,False,13742
